id_ubicacion,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad
300,2,Baja California,4,Tijuana,1085,Rancho Díaz                                                                                                   
301,2,Baja California,1,Ensenada,4702,Fraccionamiento del Valle                                                                                     
302,2,Baja California,6,San Quintín,79,Colonia Benito Juárez                                                                                         
303,2,Baja California,1,Ensenada,3726,Parcela Cuarenta y Nueve (Ejido Nacionalista)                                                                 
304,2,Baja California,2,Mexicali,522,El Mirador (Colonia Independencia Económica)                                                                  
305,2,Baja California,3,Tecate,682,Las Calabazas                                                                                                 
306,2,Baja California,3,Tecate,934,Ejido Encinal                                                                                                 
307,2,Baja California,1,Ensenada,4973,Brechas el Mirador                                                                                            
308,2,Baja California,2,Mexicali,4695,Nuevo Milenium                                                                                                
309,2,Baja California,1,Ensenada,1065,La Providencia                                                                                                
310,2,Baja California,3,Tecate,131,El Testerazo                                                                                                  
311,2,Baja California,2,Mexicali,5489,Familia Meza (Colonia Progreso)                                                                               
312,2,Baja California,3,Tecate,995,San Miguel [Rancho]                                                                                           
313,2,Baja California,1,Ensenada,118,Licenciado Gustavo Díaz Ordaz                                                                                 
314,2,Baja California,1,Ensenada,3800,Parcela Número Ciento Sesenta y Uno (Ejido Nacionalista)                                                      
315,2,Baja California,6,San Quintín,461,La Espinita [Restaurante]                                                                                     
316,2,Baja California,2,Mexicali,1998,Familia Estrada (Colonia Pólvora)                                                                             
317,2,Baja California,7,San Felipe                                                                  ,267,Villas Mar de Cortez (Rancho Grande)                                                                          
318,2,Baja California,1,Ensenada,5324,Clam Beach [Campamento]                                                                                       
319,2,Baja California,2,Mexicali,1181,Ejido Mezquital                                                                                               
320,2,Baja California,2,Mexicali,211,Ejido Lázaro Cárdenas (La Mosca)                                                                              
321,2,Baja California,6,San Quintín,134,El Barril                                                                                                     
322,2,Baja California,1,Ensenada,195,Ejido Rodolfo Sánchez Taboada (El Calvario)                                                                   
323,2,Baja California,7,San Felipe                                                                  ,254,Serena [Campo]                                                                                                
324,2,Baja California,2,Mexicali,258,Ejido Plan de Ayala                                                                                           
325,2,Baja California,6,San Quintín,603,Misión Santa Gertrudis la Magna                                                                               
326,2,Baja California,5,Playas de Rosarito,260,Familia Mata                                                                                                  
327,2,Baja California,2,Mexicali,282,Ejido Saltillo                                                                                                
328,2,Baja California,1,Ensenada,2154,Mal Paso                                                                                                      
329,2,Baja California,2,Mexicali,2274,Familia Limón (Colonia Primavera)                                                                             
330,2,Baja California,4,Tijuana,1309,Santo Tomás [Establo]                                                                                         
331,2,Baja California,1,Ensenada,242,Santo Tomás                                                                                                   
332,2,Baja California,2,Mexicali,5133,Familia Romero                                                                                                
333,2,Baja California,1,Ensenada,3706,Parcela Número Cuarenta y Tres (Ejido Nacionalista)                                                           
334,2,Baja California,3,Tecate,933,Loma Tova                                                                                                     
335,2,Baja California,2,Mexicali,242,Ejido Yucatán                                                                                                 
336,2,Baja California,2,Mexicali,256,Estación Pescaderos (Kilómetro Treinta y Nueve)                                                               
337,2,Baja California,5,Playas de Rosarito,3,Bahía Cantiles (Cantiles Dorados)                                                                             
338,2,Baja California,6,San Quintín,80,Colonia Concordia                                                                                             
339,2,Baja California,1,Ensenada,5551,El Chueco                                                                                                     
340,2,Baja California,1,Ensenada,5107,Ninguno [Estación de Servicio]                                                                                
341,2,Baja California,1,Ensenada,3697,Parcela Número Seis (Ejido Nacionalista)                                                                      
342,2,Baja California,5,Playas de Rosarito,444,Potrero de en Medio                                                                                           
343,2,Baja California,5,Playas de Rosarito,150,Rancho Reynoso                                                                                                
344,2,Baja California,3,Tecate,300,Las Palmas                                                                                                    
345,2,Baja California,1,Ensenada,852,Las Delicias                                                                                                  
346,2,Baja California,1,Ensenada,3564,Familia Solorio                                                                                               
347,2,Baja California,5,Playas de Rosarito,238,Santa Isabel del Mar                                                                                          
348,2,Baja California,4,Tijuana,1766,Baja Malibú                                                                                                   
